Season,Home Team,Away Team,Overtime (OT),Arrests
2011,Arizona,St. Louis,OT,6.0
2011,Arizona,Dallas,OT,3.0
2011,Arizona,Cleveland,OT,1.0
2011,Arizona,Seattle,OT,4.0
2011,Kansas City,Oakland,OT,2.0
2011,Kansas City,San Diego,OT,2.0
2011,Washington,Dallas,OT,7.0
2011,San Diego,Denver,OT,41.0
2011,Denver,Chicago,OT,0.0
2011,San Francisco,Dallas,OT,4.0
2012,Washington,Baltimore,OT,4.0
2012,Oakland,Jacksonville,OT,16.0
2012,Houston,Jacksonville,OT,1.0
2012,Philadelphia,Detroit,OT,1.0
2012,Pittsburgh,Kansas City,OT,25.0
2012,San Diego,Baltimore,OT,31.0
2012,Dallas,Pittsburgh,OT,13.0
2012,Dallas,Cleveland,OT,0.0
2012,San Francisco,St. Louis,OT,8.0
2012,Tennessee,Detroit,OT,1.0
2012,Chicago,Seattle,OT,0.0
2012,Tennessee,Indianapolis,OT,0.0
2012,Carolina,Tampa Bay,OT,0.0
2012,Arizona,Buffalo,OT,1.0
2012,Arizona,Miami,OT,4.0
2012,Dallas,New Orleans,OT,0.0
2012,New England,New York Jets,OT,4.0
2013,New England,Denver,OT,4.0
2013,San Diego,Kansas City,OT,8.0
2013,Seattle,Tampa Bay,OT,2.0
2013,New York Jets,New England,OT,29.0
2013,Tennessee,Arizona,OT,7.0
2013,Washington,San Diego,OT,3.0
2013,Houston,Seattle,OT,0.0
2013,Baltimore,Cincinnati,OT,0.0
2013,Houston,Tennessee,OT,2.0
2013,Green Bay,Minnesota,OT,8.0
2013,Chicago,Baltimore,OT,2.0
2013,Miami,Cincinnati,OT,0.0
2014,Cincinnati,Carolina,OT,1.0
2014,Tampa Bay,Minnesota,OT,0.0
2014,Dallas,Washington,OT,3.0
2014,Dallas,Houston,OT,7.0
2014,San Francisco,San Diego,OT,25.0
2014,Seattle,Denver,OT,1.0
2014,Chicago,Buffalo,OT,1.0
2015,Baltimore,Cleveland,OT,3.0
2015,Carolina,Indianapolis,OT,6.0
2015,New York Giants,New York Jets,OT,39.0
2015,Dallas,Philadelphia,OT,8.0
2015,Denver,New England,OT,3.0
2015,Pittsburgh,Baltimore,OT,1.0
2015,Denver,Cincinnati,OT,1.0
2015,New York Jets,New England,OT,32.0
2015,San Francisco,St. Louis,OT,18.0
2015,Indianapolis,Jacksonville,OT,0.0
